馬匹,日期,場,班次,路程,場地,分,配備,磅,排位重,騎,練,檔,走位,名,距離,時間,冠,亚,季,頭馬,賠
得道猴王,11/20/24,201,3 80-60,谷夜 C3 1200,好黏,69,T,126,1196,鍾,東,10,- 1 1,1,頭,1.10.17,▲,伊臣,勇威神駒,1.10.17,4.4
美麗奔馳,11/20/24,200,2 100-80,谷夜 C3 1200,好黏,90,T,126,1096,艾,東,7,- 10 9,1,頸,1.09.43,▲,傑出漢子,精算暴雪,1.09.43,26.0
開心勇駒,11/20/24,199,3 80-60,谷夜 C3 1650,好黏,74,T,128,1144,鍾,東,3,3 3 3,1,短頭,1.39.62,▲,勁好運,浪漫老撾,1.39.62,34.0
怡昌精神,11/20/24,198,4 60-40,谷夜 C3 1200,好黏,52,HXT,130,1230,麥,沈,9,- 9 8,1,1,1.09.87,▲,電訊龍駒,辣得駕勢,1.09.87,6.3
勇霸龍,11/20/24,197,4 60-40,谷夜 C3 1200,好黏,57,V1T,134,1198,麥,黎,5,- 5 5,1,1/2,1.09.81,▲,綠族威,辣得金,1.09.81,2.1
爆笑,11/20/24,196,4 60-40,谷夜 C3 1650,好黏,52,T,132,1093,紹,東,6,1 1 1,1,頸,1.40.41,▲,魔法速遞,君智盛,1.40.41,10.0
超勁火力,11/20/24,195,5 40-0,谷夜 C3 1200,好黏,33,C,128,1086,聲,廖,1,- 3 3,1,1/2,1.10.27,▲,三代同心,合金皇,1.10.27,6.6
先到先得,11/20/24,194,4 60-40,谷夜 C3 1650,好黏,41,,118,1147,田,蔡,1,7 7 6,1,鼻,1.39.67,▲,瀧澤飛駒,紅海勁,1.39.67,3.6
馬特峰,11/20/24,193,5 40-0,谷夜 C3 1650,好黏,32,T,127,1036,董,賢,3,6 5 3,1,頸,1.40.50,▲,聰明導彈,利衍天下,1.40.50,12.0
競駿先鋒,11/17/24,192,3 80-60,田日 B 1200,好地,70,T,122,1157,鍾,東,4,- 1 1,1,1/2,1.08.81,▲,樂勝天下,健康快車,1.08.81,17.0